sample_id,peptide_id,rpK
patient_63_SERUM_rep1,gi|10047144|ref|NP_065169.1|_sal-like_protein_4_[Homo_sapiens]_fragment_21,2.05246090062
patient_63_SERUM_rep1,gi|100814339|ref|NP_065930.2|_coiled-coil_domain-containing_protein_146_[Homo_sapiens]_fragment_24,6.15738270186
patient_63_SERUM_rep1,gi|100913028|ref|NP_001035738.1|_DNA-directed_RNA_polymerase_III_subunit_RPC9_isoform_c_[Homo_sapiens]_fragment_0,2.05246090062
patient_63_SERUM_rep1,gi|100913206|ref|NP_001348.2|_ATP-dependent_RNA_helicase_A_[Homo_sapiens]_fragment_14,2.05246090062
patient_63_SERUM_rep1,gi|100913211|ref|NP_001529.2|_heat_shock_factor_protein_4_isoform_a_[Homo_sapiens]_fragment_15,4.10492180124
patient_63_SERUM_rep1,gi|10092597|ref|NP_065394.1|_mucolipin-1_[Homo_sapiens]_fragment_15,4.10492180124
patient_63_SERUM_rep1,gi|10092639|ref|NP_057525.1|_cysteine-rich_motor_neuron_1_protein_precursor_[Homo_sapiens]_fragment_34,2.05246090062
patient_63_SERUM_rep1,gi|10092665|ref|NP_062547.1|_sushi_domain-containing_protein_2_precursor_[Homo_sapiens]_fragment_10,2.05246090062
patient_63_SERUM_rep1,gi|10092665|ref|NP_062547.1|_sushi_domain-containing_protein_2_precursor_[Homo_sapiens]_fragment_20,2.05246090062
patient_63_SERUM_rep1,gi|10092677|ref|NP_064711.1|_pyridoxal_phosphate_phosphatase_[Homo_sapiens]_fragment_0,8.20984360248
patient_63_SERUM_rep1,gi|10092677|ref|NP_064711.1|_pyridoxal_phosphate_phosphatase_[Homo_sapiens]_fragment_2,4.10492180124
patient_63_SERUM_rep1,gi|10190682|ref|NP_065700.1|_chromobox_protein_homolog_8_[Homo_sapiens]_fragment_6,2.05246090062
patient_63_SERUM_rep1,gi|10190706|ref|NP_065717.1|_dual_specificity_protein_kinase_CLK4_[Homo_sapiens]_fragment_5,2.05246090062
patient_63_SERUM_rep1,gi|10190746|ref|NP_065956.1|_retinol_dehydrogenase_14_[Homo_sapiens]_fragment_4,2.05246090062
patient_63_SERUM_rep1,gi|102468717|ref|NP_005112.2|_mediator_of_RNA_polymerase_II_transcription_subunit_13_[Homo_sapiens]_fragment_39,2.05246090062
patient_63_SERUM_rep1,gi|102468717|ref|NP_005112.2|_mediator_of_RNA_polymerase_II_transcription_subunit_13_[Homo_sapiens]_fragment_80,2.05246090062
patient_63_SERUM_rep1,gi|10337585|ref|NP_066290.1|_defensin-5_preproprotein_[Homo_sapiens]_fragment_2,4.10492180124
patient_63_SERUM_rep1,gi|10337613|ref|NP_066273.1|_B-cell_CLL/lymphoma_7_protein_family_member_A_isoform_a_[Homo_sapiens]_fragment_3,2.05246090062
patient_63_SERUM_rep1,gi|103471997|ref|NP_056240.2|_DNA-directed_RNA_polymerase_I_subunit_RPA1_[Homo_sapiens]_fragment_49,2.05246090062
patient_63_SERUM_rep1,gi|103472005|ref|NP_002408.3|_antigen_KI-67_isoform_1_[Homo_sapiens]_fragment_132,2.05246090062
patient_63_SERUM_rep1,gi|103485141|ref|NP_001035793.1|_beta-defensin_105_precursor_[Homo_sapiens]_fragment_1,2.05246090062
patient_63_SERUM_rep1,gi|103485496|ref|NP_002759.2|_charged_multivesicular_body_protein_1a_isoform_2_[Homo_sapiens]_fragment_1,2.05246090062
patient_63_SERUM_rep1,gi|104526627|ref|NP_006064.2|_triadin_isoform_1_[Homo_sapiens]_fragment_26,2.05246090062
