sample_id,peptide_id,rpK
patient_53_CSF_rep1,gi|100814339|ref|NP_065930.2|_coiled-coil_domain-containing_protein_146_[Homo_sapiens]_fragment_24,99.68884995319999
patient_53_CSF_rep1,gi|100816407|ref|NP_078961.3|_Bardet-Biedl_syndrome_10_protein_[Homo_sapiens]_fragment_21,3.02087424101
patient_53_CSF_rep1,gi|100913030|ref|NP_000103.2|_sulfate_transporter_[Homo_sapiens]_fragment_0,3.02087424101
patient_53_CSF_rep1,gi|10092597|ref|NP_065394.1|_mucolipin-1_[Homo_sapiens]_fragment_16,9.06262272302
patient_53_CSF_rep1,gi|10092639|ref|NP_057525.1|_cysteine-rich_motor_neuron_1_protein_precursor_[Homo_sapiens]_fragment_12,6.04174848201
patient_53_CSF_rep1,gi|10092677|ref|NP_064711.1|_pyridoxal_phosphate_phosphatase_[Homo_sapiens]_fragment_2,3.02087424101
patient_53_CSF_rep1,gi|10092687|ref|NP_065181.1|_NIPA-like_protein_3_[Homo_sapiens]_fragment_14,6.04174848201
patient_53_CSF_rep1,gi|10140845|ref|NP_065387.1|_ephrin_type-A_receptor_8_isoform_1_precursor_[Homo_sapiens]_fragment_31,3.02087424101
patient_53_CSF_rep1,gi|10140847|ref|NP_006726.1|_homeobox_protein_Hox-A2_[Homo_sapiens]_fragment_9,3.02087424101
patient_53_CSF_rep1,gi|10181096|ref|NP_056085.1|_adenylate_cyclase_type_6_[Homo_sapiens]_fragment_23,12.083496964000002
patient_53_CSF_rep1,gi|10181096|ref|NP_056085.1|_adenylate_cyclase_type_6_[Homo_sapiens]_fragment_25,3.02087424101
patient_53_CSF_rep1,gi|10190682|ref|NP_065700.1|_chromobox_protein_homolog_8_[Homo_sapiens]_fragment_6,6.04174848201
patient_53_CSF_rep1,gi|10190742|ref|NP_065954.1|_ubiquitin_carboxyl-terminal_hydrolase_29_[Homo_sapiens]_fragment_34,3.02087424101
patient_53_CSF_rep1,gi|10190746|ref|NP_065956.1|_retinol_dehydrogenase_14_[Homo_sapiens]_fragment_3,3.02087424101
patient_53_CSF_rep1,gi|102468717|ref|NP_005112.2|_mediator_of_RNA_polymerase_II_transcription_subunit_13_[Homo_sapiens]_fragment_66,3.02087424101
patient_53_CSF_rep1,gi|102468717|ref|NP_005112.2|_mediator_of_RNA_polymerase_II_transcription_subunit_13_[Homo_sapiens]_fragment_84,3.02087424101
patient_53_CSF_rep1,gi|102469037|ref|NP_005345.3|_transcription_factor_jun-D_isoform_JunD-FL_[Homo_sapiens]_fragment_4,9.06262272302
patient_53_CSF_rep1,gi|10337585|ref|NP_066290.1|_defensin-5_preproprotein_[Homo_sapiens]_fragment_2,3.02087424101
patient_53_CSF_rep1,gi|10337603|ref|NP_066277.1|_left-right_determination_factor_1_preproprotein_[Homo_sapiens]_fragment_14,3.02087424101
patient_53_CSF_rep1,gi|103471989|ref|NP_008990.2|_kaptin_isoform_1_[Homo_sapiens]_fragment_5,3.02087424101
patient_53_CSF_rep1,gi|103471997|ref|NP_056240.2|_DNA-directed_RNA_polymerase_I_subunit_RPA1_[Homo_sapiens]_fragment_49,3.02087424101
patient_53_CSF_rep1,gi|103472003|ref|NP_005929.2|_forkhead_box_protein_O4_isoform_1_[Homo_sapiens]_fragment_7,3.02087424101
patient_53_CSF_rep1,gi|103472005|ref|NP_002408.3|_antigen_KI-67_isoform_1_[Homo_sapiens]_fragment_1,3.02087424101
patient_53_CSF_rep1,gi|103472005|ref|NP_002408.3|_antigen_KI-67_isoform_1_[Homo_sapiens]_fragment_111,3.02087424101
patient_53_CSF_rep1,gi|103472005|ref|NP_002408.3|_antigen_KI-67_isoform_1_[Homo_sapiens]_fragment_122,3.02087424101
patient_53_CSF_rep1,gi|103472005|ref|NP_002408.3|_antigen_KI-67_isoform_1_[Homo_sapiens]_fragment_36,3.02087424101
patient_53_CSF_rep1,gi|103472005|ref|NP_002408.3|_antigen_KI-67_isoform_1_[Homo_sapiens]_fragment_39,6.04174848201
patient_53_CSF_rep1,gi|103472005|ref|NP_002408.3|_antigen_KI-67_isoform_1_[Homo_sapiens]_fragment_59,3.02087424101
patient_53_CSF_rep1,gi|103472136|ref|NP_055525.3|_G-protein_coupled_receptor-associated_sorting_protein_1_[Homo_sapiens]_fragment_19,3.02087424101
patient_53_CSF_rep1,gi|103472136|ref|NP_055525.3|_G-protein_coupled_receptor-associated_sorting_protein_1_[Homo_sapiens]_fragment_3,3.02087424101
patient_53_CSF_rep1,gi|103472136|ref|NP_055525.3|_G-protein_coupled_receptor-associated_sorting_protein_1_[Homo_sapiens]_fragment_30,21.146119687
patient_53_CSF_rep1,gi|103472136|ref|NP_055525.3|_G-protein_coupled_receptor-associated_sorting_protein_1_[Homo_sapiens]_fragment_53,6.04174848201
patient_53_CSF_rep1,gi|103472136|ref|NP_055525.3|_G-protein_coupled_receptor-associated_sorting_protein_1_[Homo_sapiens]_fragment_8,3.02087424101
patient_53_CSF_rep1,gi|103485141|ref|NP_001035793.1|_beta-defensin_105_precursor_[Homo_sapiens]_fragment_1,6.04174848201
patient_53_CSF_rep1,gi|103485496|ref|NP_002759.2|_charged_multivesicular_body_protein_1a_isoform_2_[Homo_sapiens]_fragment_1,12.083496964000002
patient_53_CSF_rep1,gi|103485496|ref|NP_002759.2|_charged_multivesicular_body_protein_1a_isoform_2_[Homo_sapiens]_fragment_2,12.083496964000002
patient_53_CSF_rep1,gi|104294874|ref|NP_775755.3|_Krueppel-like_factor_17_[Homo_sapiens]_fragment_7,3.02087424101
patient_53_CSF_rep1,gi|10440566|ref|NP_066300.1|_leucine_zipper_putative_tumor_suppressor_1_[Homo_sapiens]_fragment_12,3.02087424101
patient_53_CSF_rep1,gi|10440566|ref|NP_066300.1|_leucine_zipper_putative_tumor_suppressor_1_[Homo_sapiens]_fragment_6,3.02087424101
patient_53_CSF_rep1,gi|104487006|ref|NP_002841.3|_receptor-type_tyrosine-protein_phosphatase_S_isoform_1_precursor_[Homo_sapiens]_fragment_26,3.02087424101
patient_53_CSF_rep1,gi|104487611|ref|NP_570925.2|_receptor-type_tyrosine-protein_phosphatase_S_isoform_4_precursor_[Homo_sapiens]_fragment_18,3.02087424101
patient_53_CSF_rep1,gi|104487611|ref|NP_570925.2|_receptor-type_tyrosine-protein_phosphatase_S_isoform_4_precursor_[Homo_sapiens]_fragment_24,6.04174848201
patient_53_CSF_rep1,gi|10518344|ref|NP_066361.1|_ras-related_protein_Rap-2a_precursor_[Homo_sapiens]_fragment_5,3.02087424101
patient_53_CSF_rep1,gi|10567816|ref|NP_066268.1|_guanine_nucleotide-binding_protein_G(o)_subunit_alpha_isoform_a_[Homo_sapiens]_fragment_0,3.02087424101
patient_53_CSF_rep1,gi|105990514|ref|NP_001448.2|_filamin-B_isoform_2_[Homo_sapiens]_fragment_65,3.02087424101
patient_53_CSF_rep1,gi|105990532|ref|NP_000375.2|_apolipoprotein_B-100_precursor_[Homo_sapiens]_fragment_141,3.02087424101
patient_53_CSF_rep1,gi|105990532|ref|NP_000375.2|_apolipoprotein_B-100_precursor_[Homo_sapiens]_fragment_144,9.06262272302
patient_53_CSF_rep1,gi|105990532|ref|NP_000375.2|_apolipoprotein_B-100_precursor_[Homo_sapiens]_fragment_78,3.02087424101
patient_53_CSF_rep1,gi|105990535|ref|NP_000121.2|_coagulation_factor_V_precursor_[Homo_sapiens]_fragment_31,3.02087424101
patient_53_CSF_rep1,gi|105990535|ref|NP_000121.2|_coagulation_factor_V_precursor_[Homo_sapiens]_fragment_66,12.083496964000002
patient_53_CSF_rep1,gi|105990541|ref|NP_000341.2|_retinal-specific_ATP-binding_cassette_transporter_[Homo_sapiens]_fragment_68,3.02087424101
patient_53_CSF_rep1,"gi|106049292|ref|NP_071504.2|_pyruvate_carboxylase,_mitochondrial_precursor_[Homo_sapiens]_fragment_33",3.02087424101
patient_53_CSF_rep1,gi|106879204|ref|NP_848611.2|_exocyst_complex_component_3-like_protein_[Homo_sapiens]_fragment_15,6.04174848201
patient_53_CSF_rep1,gi|106879204|ref|NP_848611.2|_exocyst_complex_component_3-like_protein_[Homo_sapiens]_fragment_3,3.02087424101
patient_53_CSF_rep1,gi|106879206|ref|NP_078920.2|_bifunctional_lysine-specific_demethylase_and_histidyl-hydroxylase_NO66_[Homo_sapiens]_fragment_12,3.02087424101
patient_53_CSF_rep1,gi|106879206|ref|NP_078920.2|_bifunctional_lysine-specific_demethylase_and_histidyl-hydroxylase_NO66_[Homo_sapiens]_fragment_17,9.06262272302
patient_53_CSF_rep1,gi|10835000|ref|NP_000927.1|_pancreatic_triacylglycerol_lipase_precursor_[Homo_sapiens]_fragment_8,3.02087424101
patient_53_CSF_rep1,gi|10835010|ref|NP_001322.1|_catenin_delta-1_isoform_1B_[Homo_sapiens]_fragment_29,3.02087424101
patient_53_CSF_rep1,gi|10835073|ref|NP_066565.1|_glycylpeptide_N-tetradecanoyltransferase_1_[Homo_sapiens]_fragment_5,3.02087424101
patient_53_CSF_rep1,gi|10835103|ref|NP_066546.1|_interferon_alpha-4_precursor_[Homo_sapiens]_fragment_1,9.06262272302
patient_53_CSF_rep1,"gi|10835173|ref|NP_000611.1|_nitric_oxide_synthase,_brain_isoform_1_[Homo_sapiens]_fragment_32",6.04174848201
patient_53_CSF_rep1,"gi|10835173|ref|NP_000611.1|_nitric_oxide_synthase,_brain_isoform_1_[Homo_sapiens]_fragment_7",6.04174848201
patient_53_CSF_rep1,gi|10835175|ref|NP_000612.1|_5-hydroxytryptamine_receptor_2A_isoform_1_[Homo_sapiens]_fragment_5,6.04174848201
patient_53_CSF_rep1,gi|10835218|ref|NP_004609.1|_DNA_topoisomerase_3-alpha_[Homo_sapiens]_fragment_37,6.04174848201
patient_53_CSF_rep1,gi|10835242|ref|NP_006249.1|_cGMP-dependent_protein_kinase_1_isoform_2_[Homo_sapiens]_fragment_2,9.06262272302
patient_53_CSF_rep1,gi|10835242|ref|NP_006249.1|_cGMP-dependent_protein_kinase_1_isoform_2_[Homo_sapiens]_fragment_5,6.04174848201
patient_53_CSF_rep1,gi|10835248|ref|NP_006498.1|_lithostathine-1-beta_precursor_[Homo_sapiens]_fragment_3,27.187868169
patient_53_CSF_rep1,gi|10835256|ref|NP_037390.2|_apoptosis-associated_speck-like_protein_containing_a_CARD_isoform_a_[Homo_sapiens]_fragment_5,3.02087424101
patient_53_CSF_rep1,gi|10835267|ref|NP_066569.1|_membrane_transport_protein_XK_precursor_[Homo_sapiens]_fragment_17,6.04174848201
patient_53_CSF_rep1,gi|108389176|ref|NP_997229.2|_tRNA-splicing_endonuclease_subunit_Sen54_[Homo_sapiens]_fragment_1,3.02087424101
patient_53_CSF_rep1,gi|10862703|ref|NP_066124.1|_proto-oncogene_tyrosine-protein_kinase_receptor_Ret_isoform_a_precursor_[Homo_sapiens]_fragment_32,3.02087424101
patient_53_CSF_rep1,gi|10862703|ref|NP_066124.1|_proto-oncogene_tyrosine-protein_kinase_receptor_Ret_isoform_a_precursor_[Homo_sapiens]_fragment_7,3.02087424101
patient_53_CSF_rep1,gi|10863887|ref|NP_066924.1|_claudin-1_[Homo_sapiens]_fragment_1,9.06262272302
patient_53_CSF_rep1,gi|10863899|ref|NP_004747.1|_numb-like_protein_isoform_a_[Homo_sapiens]_fragment_3,3.02087424101
patient_53_CSF_rep1,gi|10863935|ref|NP_066959.1|_reticulon-1_isoform_A_[Homo_sapiens]_fragment_6,6.04174848201
patient_53_CSF_rep1,gi|10863957|ref|NP_066978.1|_CD209_antigen_isoform_1_[Homo_sapiens]_fragment_12,3.02087424101
patient_53_CSF_rep1,gi|10863995|ref|NP_067011.1|_zinc_finger_protein_410_isoform_b_[Homo_sapiens]_fragment_17,3.02087424101
patient_53_CSF_rep1,gi|10864017|ref|NP_067027.1|_enolase-phosphatase_E1_isoform_1_[Homo_sapiens]_fragment_8,3.02087424101
patient_53_CSF_rep1,gi|10864043|ref|NP_067055.1|_probable_proline_dehydrogenase_2_[Homo_sapiens]_fragment_10,6.04174848201
patient_53_CSF_rep1,gi|10864043|ref|NP_067055.1|_probable_proline_dehydrogenase_2_[Homo_sapiens]_fragment_11,15.104371205
patient_53_CSF_rep1,gi|10864043|ref|NP_067055.1|_probable_proline_dehydrogenase_2_[Homo_sapiens]_fragment_17,3.02087424101
patient_53_CSF_rep1,gi|10864043|ref|NP_067055.1|_probable_proline_dehydrogenase_2_[Homo_sapiens]_fragment_3,3.02087424101
patient_53_CSF_rep1,gi|10864043|ref|NP_067055.1|_probable_proline_dehydrogenase_2_[Homo_sapiens]_fragment_8,3.02087424101
patient_53_CSF_rep1,gi|10864063|ref|NP_067078.1|_E3_ubiquitin-protein_ligase_pellino_homolog_2_[Homo_sapiens]_fragment_7,3.02087424101
patient_53_CSF_rep1,gi|108773797|ref|NP_061845.2|_ganglioside-induced_differentiation-associated_protein_1_isoform_a_[Homo_sapiens]_fragment_5,3.02087424101
patient_53_CSF_rep1,gi|108796649|ref|NP_001035826.1|_meiotic_recombination_protein_REC114_[Homo_sapiens]_fragment_5,3.02087424101
patient_53_CSF_rep1,gi|108796661|ref|NP_001012986.2|_spindlin-4_[Homo_sapiens]_fragment_1,6.04174848201
patient_53_CSF_rep1,gi|108796661|ref|NP_001012986.2|_spindlin-4_[Homo_sapiens]_fragment_4,3.02087424101
patient_53_CSF_rep1,gi|10880983|ref|NP_065857.1|_gephyrin_isoform_1_[Homo_sapiens]_fragment_19,3.02087424101
patient_53_CSF_rep1,gi|10880983|ref|NP_065857.1|_gephyrin_isoform_1_[Homo_sapiens]_fragment_20,3.02087424101
patient_53_CSF_rep1,gi|10880983|ref|NP_065857.1|_gephyrin_isoform_1_[Homo_sapiens]_fragment_30,217.502945352
patient_53_CSF_rep1,gi|108860697|ref|NP_055445.2|_zinc_finger_protein_592_[Homo_sapiens]_fragment_12,3.02087424101
patient_53_CSF_rep1,gi|109148539|ref|NP_821158.2|_gamma-glutamyltransferase_7_[Homo_sapiens]_fragment_22,3.02087424101
patient_53_CSF_rep1,gi|109150431|ref|NP_060469.4|_E3_ubiquitin-protein_ligase_RNF31_isoform_1_[Homo_sapiens]_fragment_33,3.02087424101
patient_53_CSF_rep1,gi|109150435|ref|NP_001035869.1|_ankyrin_repeat_and_zinc_finger_domain-containing_protein_1_isoform_1_[Homo_sapiens]_fragment_18,15.104371205
patient_53_CSF_rep1,gi|109255241|ref|NP_000569.3|_natural_resistance-associated_macrophage_protein_1_[Homo_sapiens]_fragment_3,3.02087424101
patient_53_CSF_rep1,gi|109255245|ref|NP_004751.2|_serine/threonine-protein_kinase_17A_[Homo_sapiens]_fragment_9,3.02087424101
patient_53_CSF_rep1,gi|109288012|ref|NP_001035887.1|_monocarboxylate_transporter_4_[Homo_sapiens]_fragment_6,3.02087424101
patient_53_CSF_rep1,gi|10938016|ref|NP_005593.2|_claudin-11_isoform_1_[Homo_sapiens]_fragment_4,3.02087424101
patient_53_CSF_rep1,gi|10947139|ref|NP_000036.2|_arginase-1_isoform_2_[Homo_sapiens]_fragment_8,6.04174848201
patient_53_CSF_rep1,gi|109633026|ref|NP_001035917.1|_serine/threonine-protein_kinase_26_isoform_3_[Homo_sapiens]_fragment_10,3.02087424101
